1,B8AF48,"mov ax, 48AF",0000,0000,0000,0000,0100,489D,48B1,48AD,0000,00000010
2,8ED8,"mov ds, ax",48AF,0000,0000,0000,0100,489D,48B1,48AD,0003,00000010
3,B409,"mov ah, 09",48AF,0000,0000,0000,0100,48AF,48B1,48AD,0005,00000010
4,BA0000,"mov dx, 0000",09AF,0000,0000,0000,0100,48AF,48B1,48AD,0007,00000010
5,CD21,"int 21",09AF,0000,0000,0000,0100,48AF,48B1,48AD,000A,00000010
6,B8004C,"mov ax,4C00",09AF,0000,0000,0000,0100,48AF,48B1,48AD,000C,00000010
7,CD21,"int 21",4C00,0000,0000,0000,0100,48AF,48B1,48AD,000F,00000010
